date,infra_index_usd
10/20/06,100.00
10/23/06,99.94
10/24/06,99.80
10/25/06,100.32
10/26/06,100.50
10/27/06,100.55
10/30/06,100.61
10/31/06,100.79
11/01/06,101.12
11/02/06,100.81
11/03/06,100.37
11/06/06,100.70
11/07/06,101.33
11/08/06,101.93
11/09/06,102.09
11/10/06,102.86
11/13/06,102.83
11/14/06,102.89
11/15/06,102.92
11/16/06,103.37
11/17/06,103.44
11/20/06,103.53
11/21/06,103.75
11/22/06,104.13
11/23/06,104.17
11/24/06,104.88
11/27/06,104.30
11/28/06,104.28
11/29/06,105.80
11/30/06,106.03
12/01/06,106.29
12/04/06,107.20
12/05/06,107.99
12/06/06,108.26
12/07/06,108.10
12/08/06,108.31
12/11/06,108.24
12/12/06,108.43
12/13/06,108.90
12/14/06,109.14
12/15/06,108.93
12/18/06,108.57
12/19/06,108.97
12/20/06,108.74
12/21/06,108.57
12/22/06,108.14
12/25/06,108.05
12/26/06,108.15
12/27/06,108.84
12/28/06,108.86
12/29/06,109.14
01/02/07,110.06
01/03/07,109.55
01/04/07,108.88
01/05/07,106.42
01/08/07,106.58
01/09/07,106.53
01/10/07,105.99
01/11/07,106.65
01/12/07,107.09
01/15/07,107.28
01/16/07,107.17
01/17/07,107.02
01/18/07,106.80
01/19/07,107.12
01/22/07,107.34
01/23/07,107.59
01/24/07,108.57
01/25/07,108.04
01/26/07,107.94
01/29/07,108.46
01/30/07,109.08
01/31/07,109.00
02/01/07,110.26
02/02/07,111.09
02/05/07,111.12
02/06/07,112.37
02/07/07,113.19
02/08/07,112.74
02/09/07,112.83
02/12/07,112.35
02/13/07,112.83
02/14/07,113.58
02/15/07,113.35
02/16/07,113.13
02/19/07,113.08
02/20/07,113.26
02/21/07,112.28
02/22/07,112.15
02/23/07,113.05
02/26/07,114.67
02/27/07,112.49
02/28/07,110.99
03/01/07,110.51
03/02/07,109.71
03/05/07,108.11
03/06/07,109.22
03/07/07,110.00
03/08/07,111.08
03/09/07,111.03
03/12/07,111.65
03/13/07,110.74
03/14/07,109.80
03/15/07,111.31
03/16/07,111.41
03/19/07,112.49
03/20/07,113.69
03/21/07,114.35
03/22/07,115.39
03/23/07,115.73
03/26/07,115.61
03/27/07,115.51
03/28/07,115.44
03/29/07,115.92
03/30/07,115.45
04/02/07,116.56
04/03/07,117.80
04/04/07,117.91
04/05/07,118.17
04/10/07,118.90
04/11/07,118.68
04/12/07,118.47
04/13/07,118.50
04/16/07,119.45
04/17/07,119.77
04/18/07,119.84
04/19/07,119.32
04/20/07,120.09
04/23/07,120.08
04/24/07,120.37
04/25/07,121.24
04/26/07,120.49
04/27/07,120.00
04/30/07,120.08
05/01/07,120.07
05/02/07,120.84
05/03/07,120.94
05/04/07,121.32
05/07/07,122.25
05/08/07,121.11
05/09/07,121.33
05/10/07,120.16
05/11/07,121.04
05/14/07,121.64
05/15/07,121.95
05/16/07,122.46
05/17/07,122.08
05/18/07,122.66
05/21/07,122.76
05/22/07,122.50
05/23/07,122.86
05/24/07,120.97
05/25/07,120.81
05/28/07,120.77
05/29/07,121.25
05/30/07,121.94
05/31/07,123.16
06/01/07,123.63
06/04/07,123.38
06/05/07,122.40
06/06/07,120.39
06/07/07,117.71
06/08/07,117.50
06/11/07,118.35
06/12/07,117.21
06/13/07,117.93
06/14/07,119.04
06/15/07,120.60
06/18/07,120.22
06/19/07,120.00
06/20/07,118.91
06/21/07,118.80
06/22/07,117.91
06/25/07,118.19
06/26/07,117.77
06/27/07,118.19
06/28/07,118.89
06/29/07,119.80
07/02/07,121.03
07/03/07,121.44
07/04/07,121.50
07/05/07,120.69
07/06/07,120.77
07/09/07,120.75
07/10/07,119.88
07/11/07,120.10
07/12/07,121.57
07/13/07,122.59
07/16/07,122.05
07/17/07,121.90
07/18/07,121.79
07/19/07,123.07
07/20/07,122.20
07/23/07,122.52
07/24/07,120.16
07/25/07,119.13
07/26/07,116.77
07/27/07,114.98
07/30/07,115.06
07/31/07,115.82
08/01/07,116.15
08/02/07,117.27
08/03/07,115.18
08/06/07,116.55
08/07/07,117.54
08/08/07,119.11
08/09/07,117.32
08/10/07,116.02
08/13/07,116.67
08/14/07,114.89
08/15/07,113.53
08/16/07,111.79
08/17/07,113.96
08/20/07,114.34
08/21/07,114.45
08/22/07,115.81
08/23/07,116.39
08/24/07,117.26
08/27/07,115.94
08/28/07,115.03
08/29/07,116.22
08/30/07,116.79
08/31/07,117.86
09/03/07,117.41
09/04/07,118.01
09/05/07,116.60
09/06/07,117.40
09/07/07,116.26
09/10/07,116.42
09/11/07,117.71
09/12/07,118.43
09/13/07,118.96
09/14/07,119.07
09/17/07,118.64
09/18/07,120.08
09/19/07,122.14
09/20/07,122.11
09/21/07,122.34
09/24/07,122.55
09/25/07,122.76
09/26/07,123.80
09/27/07,124.08
09/28/07,123.85
10/01/07,124.99
10/02/07,124.17
10/03/07,124.00
10/04/07,124.57
10/05/07,125.53
10/08/07,124.70
10/09/07,126.11
10/10/07,125.93
10/11/07,126.57
10/12/07,126.62
10/15/07,126.02
10/16/07,125.74
10/17/07,126.31
10/18/07,126.88
10/19/07,125.29
10/22/07,124.59
10/23/07,125.77
10/24/07,125.92
10/25/07,128.04
10/26/07,129.21
10/29/07,130.21
10/30/07,130.38
10/31/07,131.47
11/01/07,130.09
11/02/07,130.94
11/05/07,131.70
11/06/07,132.58
11/07/07,131.92
11/08/07,132.13
11/09/07,131.62
11/12/07,129.46
11/13/07,129.38
11/14/07,130.01
11/15/07,129.89
11/16/07,130.65
11/19/07,130.22
11/20/07,131.55
11/21/07,130.29
11/22/07,131.43
11/23/07,131.37
11/26/07,131.44
11/27/07,131.24
11/28/07,132.32
11/29/07,132.99
11/30/07,133.18
12/03/07,133.65
12/04/07,134.40
12/05/07,135.66
12/06/07,135.74
12/07/07,136.13
12/10/07,135.90
12/11/07,134.72
12/12/07,134.69
12/13/07,133.45
12/14/07,132.57
12/17/07,131.08
12/18/07,131.62
12/19/07,131.13
12/20/07,130.86
12/21/07,132.05
12/24/07,132.14
12/27/07,132.53
12/28/07,133.41
12/31/07,132.68
01/02/08,131.94
01/03/08,132.99
01/04/08,132.51
01/07/08,134.09
01/08/08,133.64
01/09/08,134.54
01/10/08,134.54
01/11/08,132.54
01/14/08,132.63
01/15/08,131.23
01/16/08,129.33
01/17/08,127.99
01/18/08,126.84
01/21/08,121.51
01/22/08,118.75
01/23/08,117.20
01/24/08,120.16
01/25/08,120.72
01/28/08,121.10
01/29/08,122.26
01/30/08,121.63
01/31/08,123.08
02/01/08,124.65
02/04/08,125.84
02/05/08,122.35
02/06/08,122.86
02/07/08,121.29
02/08/08,121.33
02/11/08,121.85
02/12/08,124.60
02/13/08,124.73
02/14/08,125.16
02/15/08,124.26
02/18/08,124.91
02/19/08,125.47
02/20/08,123.73
02/21/08,123.19
02/22/08,122.99
02/25/08,123.63
02/26/08,124.15
02/27/08,124.87
02/28/08,124.28
02/29/08,122.58
03/03/08,121.46
03/04/08,121.60
03/05/08,122.24
03/06/08,122.29
03/07/08,120.87
03/10/08,120.96
03/11/08,123.13
03/12/08,123.16
03/13/08,123.33
03/14/08,122.43
03/17/08,121.18
03/18/08,123.27
03/19/08,120.54
03/20/08,119.03
03/25/08,120.99
03/26/08,121.48
03/27/08,122.77
03/28/08,121.68
03/31/08,121.85
04/01/08,123.20
04/02/08,123.87
04/03/08,124.50
04/04/08,125.78
04/07/08,125.24
04/08/08,125.16
04/09/08,124.74
04/10/08,124.92
04/11/08,124.51
04/14/08,124.13
04/15/08,124.62
04/16/08,126.75
04/17/08,126.70
04/18/08,127.12
04/21/08,126.94
04/22/08,126.86
04/23/08,127.42
04/24/08,126.82
04/25/08,127.29
04/28/08,127.27
04/29/08,126.30
04/30/08,126.40
05/01/08,126.35
05/02/08,126.92
05/05/08,126.54
05/06/08,126.96
05/07/08,126.18
05/08/08,126.17
05/09/08,125.87
05/12/08,127.00
05/13/08,127.00
05/14/08,127.54
05/15/08,127.62
05/16/08,128.22
05/19/08,130.03
05/20/08,130.09
05/21/08,130.50
05/22/08,130.99
05/23/08,128.87
05/26/08,129.17
05/27/08,129.30
05/28/08,129.42
05/29/08,130.17
05/30/08,130.90
06/02/08,129.54
06/03/08,129.92
06/04/08,129.73
06/05/08,130.55
06/06/08,129.35
06/09/08,130.69
06/10/08,128.68
06/11/08,127.37
06/12/08,126.04
06/13/08,126.38
06/16/08,126.41
06/17/08,126.98
06/18/08,126.77
06/19/08,126.93
06/20/08,125.13
06/23/08,125.45
06/24/08,124.39
06/25/08,125.19
06/26/08,123.91
06/27/08,123.93
06/30/08,125.83
07/01/08,125.25
07/02/08,125.21
07/03/08,124.08
07/04/08,123.23
07/07/08,124.42
07/08/08,123.59
07/09/08,124.16
07/10/08,123.50
07/11/08,122.26
07/14/08,121.86
07/15/08,120.76
07/16/08,120.17
07/17/08,120.00
07/18/08,120.26
07/21/08,121.44
07/22/08,121.97
07/23/08,120.68
07/24/08,119.60
07/25/08,119.56
07/28/08,119.09
07/29/08,118.92
07/30/08,120.40
07/31/08,121.05
08/01/08,118.70
08/04/08,118.10
08/05/08,118.34
08/06/08,117.65
08/07/08,117.78
08/08/08,116.66
08/11/08,117.01
08/12/08,115.51
08/13/08,115.54
08/14/08,115.42
08/15/08,114.64
08/18/08,114.77
08/19/08,114.39
08/20/08,115.15
08/21/08,116.06
08/22/08,116.30
08/25/08,115.57
08/26/08,115.93
08/27/08,116.85
08/28/08,117.51
08/29/08,116.92
09/01/08,116.23
09/02/08,115.00
09/03/08,113.48
09/04/08,111.23
09/05/08,108.79
09/08/08,110.24
09/09/08,107.07
09/10/08,106.25
09/11/08,106.08
09/12/08,108.74
09/15/08,106.29
09/16/08,104.85
09/17/08,102.24
09/18/08,102.86
09/19/08,107.27
09/22/08,106.16
09/23/08,106.07
09/24/08,105.83
09/25/08,108.13
09/26/08,107.43
09/29/08,103.01
09/30/08,102.79
10/01/08,103.34
10/02/08,100.79
10/03/08,100.51
10/06/08,94.04
10/07/08,92.91
10/08/08,89.45
10/09/08,83.84
10/10/08,77.48
10/13/08,87.66
10/14/08,89.45
10/15/08,83.73
10/16/08,82.58
10/17/08,86.10
10/20/08,91.19
10/21/08,88.56
10/22/08,83.32
10/23/08,85.10
10/24/08,82.40
10/27/08,78.05
10/28/08,82.62
10/29/08,86.35
10/30/08,88.64
10/31/08,88.19
11/03/08,89.49
11/04/08,92.75
11/05/08,91.70
11/06/08,86.92
11/07/08,89.36
11/10/08,88.67
11/11/08,86.37
11/12/08,83.91
11/13/08,86.31
11/14/08,86.32
11/17/08,85.32
11/18/08,85.96
11/19/08,84.08
11/20/08,80.10
11/21/08,81.39
11/24/08,85.83
11/25/08,86.95
11/26/08,86.32
11/27/08,86.32
11/28/08,86.53
12/01/08,81.47
12/02/08,83.24
12/03/08,84.34
12/04/08,82.04
12/05/08,81.23
12/08/08,84.55
12/09/08,83.69
12/10/08,85.22
12/11/08,86.01
12/12/08,85.57
12/15/08,86.15
12/16/08,87.66
12/17/08,89.13
12/18/08,90.10
12/19/08,88.41
12/22/08,87.58
12/23/08,87.35
12/24/08,87.58
12/29/08,89.00
12/30/08,90.50
12/31/08,90.67
01/02/09,92.45
01/05/09,92.71
01/06/09,90.99
01/07/09,89.89
01/08/09,90.56
01/09/09,88.94
01/12/09,87.93
01/13/09,86.39
01/14/09,84.62
01/15/09,84.27
01/16/09,85.69
01/19/09,85.63
01/20/09,83.79
01/21/09,83.88
01/22/09,83.70
01/23/09,83.69
01/26/09,86.18
01/27/09,86.88
01/28/09,87.47
01/29/09,86.26
01/30/09,84.95
02/02/09,84.11
02/03/09,85.60
02/04/09,86.21
02/05/09,86.18
02/06/09,86.39
02/09/09,86.09
02/10/09,84.41
02/11/09,83.62
02/12/09,82.18
02/13/09,82.16
02/16/09,81.74
02/17/09,79.23
02/18/09,78.09
02/19/09,78.93
02/20/09,76.99
02/23/09,76.25
02/24/09,76.82
02/25/09,75.72
02/26/09,75.65
02/27/09,75.05
03/02/09,71.39
03/03/09,69.52
03/04/09,70.71
03/05/09,69.56
03/06/09,69.84
03/09/09,68.43
03/10/09,69.73
03/11/09,69.06
03/12/09,69.22
03/13/09,70.00
03/16/09,72.20
03/17/09,72.76
03/18/09,73.96
03/19/09,75.93
03/20/09,75.97
03/23/09,78.28
03/24/09,77.51
03/25/09,78.44
03/26/09,78.33
03/27/09,76.48
03/30/09,74.43
03/31/09,75.44
04/01/09,75.42
04/02/09,77.30
04/03/09,76.63
04/06/09,76.46
04/07/09,76.46
04/08/09,77.02
04/09/09,77.13
04/14/09,76.52
04/15/09,76.92
04/16/09,77.39
04/17/09,77.44
04/20/09,75.50
04/21/09,76.24
04/22/09,76.12
04/23/09,76.21
04/24/09,77.49
04/27/09,77.80
04/28/09,77.38
04/29/09,79.16
04/30/09,79.59
05/01/09,80.16
05/04/09,81.92
05/05/09,81.55
05/06/09,81.49
05/07/09,81.66
05/08/09,83.30
05/11/09,83.17
05/12/09,83.64
05/13/09,82.36
05/14/09,82.19
05/15/09,81.59
05/18/09,81.73
05/19/09,83.38
05/20/09,84.14
05/21/09,82.89
05/22/09,83.79
05/25/09,83.82
05/26/09,85.22
05/27/09,84.86
05/28/09,85.20
05/29/09,85.91
06/01/09,87.88
06/02/09,87.91
06/03/09,86.03
06/04/09,85.97
06/05/09,85.34
06/08/09,84.15
06/09/09,85.01
06/10/09,85.57
06/11/09,86.76
06/12/09,86.94
06/15/09,84.93
06/16/09,84.96
06/17/09,83.99
06/18/09,85.33
06/19/09,85.88
06/22/09,84.72
06/23/09,84.78
06/24/09,85.81
06/25/09,86.02
06/26/09,86.38
06/29/09,87.15
06/30/09,86.48
07/01/09,87.62
07/02/09,85.25
07/03/09,84.99
07/06/09,84.76
07/07/09,83.54
07/08/09,83.04
07/09/09,83.69
07/10/09,83.22
07/13/09,84.26
07/14/09,84.72
07/15/09,86.70
07/16/09,86.80
07/17/09,86.72
07/20/09,87.82
07/21/09,88.51
07/22/09,88.55
07/23/09,89.96
07/24/09,90.01
07/27/09,90.28
07/28/09,89.67
07/29/09,89.39
07/30/09,90.60
07/31/09,90.30
08/03/09,91.65
08/04/09,91.48
08/05/09,90.58
08/06/09,90.22
08/07/09,90.44
08/10/09,90.28
08/11/09,89.80
08/12/09,91.06
08/13/09,91.48
08/14/09,91.05
08/17/09,89.03
08/18/09,89.83
08/19/09,90.82
08/20/09,91.72
08/21/09,93.73
08/24/09,94.27
08/25/09,94.13
08/26/09,93.58
08/27/09,93.91
08/28/09,94.43
08/31/09,93.79
09/01/09,92.41
09/02/09,92.05
09/03/09,92.20
09/04/09,92.94
09/07/09,93.58
09/08/09,94.21
09/09/09,94.80
09/10/09,95.05
09/11/09,95.47
09/14/09,95.99
09/15/09,96.42
09/16/09,97.48
09/17/09,97.71
09/18/09,97.57
09/21/09,97.13
09/22/09,97.68
09/23/09,97.26
09/24/09,96.29
09/25/09,95.98
09/28/09,97.32
09/29/09,96.75
09/30/09,96.98
10/01/09,95.30
10/02/09,94.43
10/05/09,95.34
10/06/09,96.60
10/07/09,96.13
10/08/09,96.73
10/09/09,96.57
10/12/09,96.72
10/13/09,96.00
10/14/09,96.53
10/15/09,96.74
10/16/09,96.20
10/19/09,97.30
10/20/09,97.03
10/21/09,97.36
10/22/09,97.09
10/23/09,95.76
10/26/09,94.95
10/27/09,94.40
10/28/09,93.52
10/29/09,94.38
10/30/09,92.86
11/02/09,92.95
11/03/09,92.34
11/04/09,93.64
11/05/09,94.51
11/06/09,94.23
11/09/09,95.91
11/10/09,96.04
11/11/09,96.38
11/12/09,95.32
11/13/09,95.99
11/16/09,97.37
11/17/09,97.01
11/18/09,97.56
11/19/09,96.11
11/20/09,96.03
11/23/09,97.35
11/24/09,97.37
11/25/09,98.59
11/26/09,97.35
11/27/09,97.01
11/30/09,97.19
12/01/09,98.95
12/02/09,99.57
12/03/09,99.62
12/04/09,99.17
12/07/09,99.22
12/08/09,98.50
12/09/09,98.50
12/10/09,99.28
12/11/09,99.83
12/14/09,100.47
12/15/09,100.12
12/16/09,100.65
12/17/09,99.00
12/18/09,98.97
12/21/09,99.62
12/22/09,99.49
12/23/09,99.97
12/24/09,100.38
12/29/09,101.49
12/30/09,100.89
12/31/09,100.58
01/04/10,101.46
01/05/10,101.37
01/06/10,101.37
01/07/10,100.71
01/08/10,101.11
01/11/10,102.31
01/12/10,101.84
01/13/10,101.94
01/14/10,101.77
01/15/10,100.60
01/18/10,100.98
01/19/10,101.76
01/20/10,100.29
01/21/10,99.32
01/22/10,98.27
01/25/10,98.15
01/26/10,97.88
01/27/10,97.41
01/28/10,96.09
01/29/10,95.48
02/01/10,96.11
02/02/10,96.92
02/03/10,96.13
02/04/10,93.75
02/05/10,92.58
02/08/10,92.71
02/09/10,92.90
02/10/10,93.02
02/11/10,93.04
02/12/10,93.14
02/15/10,93.22
02/16/10,94.62
02/17/10,94.78
02/18/10,94.90
02/19/10,95.03
02/22/10,95.21
02/23/10,94.50
02/24/10,94.70
02/25/10,93.76
02/26/10,94.28
03/01/10,94.83
03/02/10,95.62
03/03/10,96.25
03/04/10,95.83
03/05/10,96.52
03/08/10,96.69
03/09/10,96.64
03/10/10,97.12
03/11/10,97.33
03/12/10,97.33
03/15/10,97.11
03/16/10,98.04
03/17/10,98.34
03/18/10,97.57
03/19/10,97.00
03/22/10,96.63
03/23/10,97.06
03/24/10,95.78
03/25/10,95.96
03/26/10,95.87
03/29/10,97.00
03/30/10,97.28
03/31/10,97.18
04/01/10,98.10
04/06/10,98.22
04/07/10,97.73
04/08/10,97.36
04/09/10,98.62
04/12/10,99.35
04/13/10,98.77
04/14/10,99.12
04/15/10,99.14
04/16/10,98.00
04/19/10,97.70
04/20/10,98.66
04/21/10,98.12
04/22/10,97.53
04/23/10,97.93
04/26/10,97.94
04/27/10,96.14
04/28/10,95.14
04/29/10,95.63
04/30/10,96.07
05/03/10,96.57
05/04/10,94.67
05/05/10,93.37
05/06/10,91.06
05/07/10,89.07
05/10/10,92.88
05/11/10,92.37
05/12/10,93.52
05/13/10,92.97
05/14/10,90.79
05/17/10,90.37
05/18/10,90.68
05/19/10,89.41
05/20/10,87.39
05/21/10,87.99
05/24/10,86.98
05/25/10,85.81
05/26/10,86.06
05/27/10,88.04
05/28/10,88.29
05/31/10,88.14
06/01/10,87.71
06/02/10,88.30
06/03/10,89.40
06/04/10,87.02
06/07/10,86.41
06/08/10,86.63
06/09/10,87.09
06/10/10,88.95
06/11/10,89.14
06/14/10,90.33
06/15/10,91.67
06/16/10,92.24
06/17/10,92.57
06/18/10,92.84
06/21/10,92.88
06/22/10,91.48
06/23/10,90.50
06/24/10,90.04
06/25/10,89.79
06/28/10,90.31
06/29/10,87.94
06/30/10,87.64
07/01/10,87.70
07/02/10,88.29
07/05/10,88.11
07/06/10,89.77
07/07/10,91.67
07/08/10,92.34
07/09/10,92.52
07/12/10,92.38
07/13/10,93.17
07/14/10,93.27
07/15/10,93.59
07/16/10,92.19
07/19/10,92.70
07/20/10,93.02
07/21/10,92.48
07/22/10,94.16
07/23/10,94.18
07/26/10,94.89
07/27/10,95.76
07/28/10,95.58
07/29/10,95.32
07/30/10,94.84
08/02/10,97.07
08/03/10,97.30
08/04/10,97.41
08/05/10,97.61
08/06/10,97.55
08/09/10,98.10
08/10/10,97.39
08/11/10,95.24
08/12/10,95.03
08/13/10,94.81
08/16/10,94.97
08/17/10,96.09
08/18/10,95.81
08/19/10,94.62
08/20/10,93.79
08/23/10,94.22
08/24/10,94.03
08/25/10,93.59
08/26/10,93.84
08/27/10,95.06
08/30/10,94.59
08/31/10,94.59
09/01/10,96.69
09/02/10,96.82
09/03/10,97.41
09/06/10,98.05
09/07/10,97.30
09/08/10,97.60
09/09/10,98.10
09/10/10,97.72
09/13/10,98.41
09/14/10,98.35
09/15/10,97.83
09/16/10,97.28
09/17/10,96.55
09/20/10,97.58
09/21/10,97.49
09/22/10,98.08
09/23/10,97.43
09/24/10,98.72
09/27/10,98.84
09/28/10,99.23
09/29/10,98.84
09/30/10,98.59
10/01/10,99.11
10/04/10,98.44
10/05/10,99.93
10/06/10,99.93
10/07/10,100.53
10/08/10,100.61
10/11/10,100.85
10/12/10,99.88
10/13/10,101.18
10/14/10,101.55
10/15/10,101.54
10/18/10,102.12
10/19/10,101.27
10/20/10,102.16
10/21/10,102.40
10/22/10,101.80
10/25/10,101.94
10/26/10,101.65
10/27/10,100.71
10/28/10,101.73
10/29/10,102.70
11/01/10,102.26
11/02/10,103.24
11/03/10,102.61
11/04/10,104.30
11/05/10,103.59
11/08/10,102.79
11/09/10,102.95
11/10/10,102.03
11/11/10,101.77
11/12/10,101.48
11/15/10,101.54
11/16/10,99.91
11/17/10,100.19
11/18/10,101.20
11/19/10,101.22
11/22/10,100.99
11/23/10,99.30
11/24/10,99.45
11/25/10,99.30
11/26/10,98.23
11/29/10,97.10
11/30/10,96.79
12/01/10,97.88
12/02/10,98.81
12/03/10,99.56
12/06/10,99.20
12/07/10,99.48
12/08/10,98.93
12/09/10,99.22
12/10/10,99.48
12/13/10,100.51
12/14/10,100.71
